Timestamp,Discord Username,Rank Your Country Choices [Abyssinia],Rank Your Country Choices [Ajuuran],Rank Your Country Choices [Athapasca],Rank Your Country Choices [Austria],Rank Your Country Choices [Aymara],Rank Your Country Choices [Ayutthaya],Rank Your Country Choices [England],Rank Your Country Choices [France],Rank Your Country Choices [Guarani],Rank Your Country Choices [Inuit],Rank Your Country Choices [Kongo],Rank Your Country Choices [Mapuche-Tehuelche],Rank Your Country Choices [Ming],Rank Your Country Choices [Mughal],Rank Your Country Choices [Netherlands],Rank Your Country Choices [Ottoman],Rank Your Country Choices [Poland-Lithuania],Rank Your Country Choices [Portugal],Rank Your Country Choices [Qing],Rank Your Country Choices [Russia],Rank Your Country Choices [Safavid],Rank Your Country Choices [Spain],Rank Your Country Choices [Sweden],Rank Your Country Choices [Ute-Shoshone],Rank Your Country Choices [Tokugawa],Select Here If You Have No Power Preferences,Are there any people you refuse to play with? (This will be shared with the Admins and your GM Team.),Anything else the Admins should know?
2/14/2026 13:04:52,9e59da06,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/18/2026 10:27:13,1008fa8f,1st,,,5th,,3rd,,,2nd,,,,,,,,,,4th,,,,,,,,e3b0c442,
2/14/2026 19:07:49,b930d6b5,,,,,,3rd,,4th,,,,,1st,2nd,,,,,,5th,,,,,,,e3b0c442,
2/19/2026 22:20:19,cad552a1,,,,,,,,,,3rd,,,,,,,,4th,,,,,,2nd,1st,,e3b0c442,
2/17/2026 7:06:28,9f16821a,,,,2nd,,,,,,,,,,,,,1st,,,,,5th,4th,,3rd,,e3b0c442,
2/17/2026 12:29:18,50caf22a,,,,1st,,,,,,,,,,5th,,,,,4th,,3rd,,2nd,,,,e3b0c442,
2/14/2026 13:31:29,7c00ebf5,,,,1st,,,,,,,,,,,,3rd,,,5th,,4th,,2nd,,,,e3b0c442,
2/21/2026 5:41:32,863f8174,,,,,,,,2nd,,,4th,,,,,,1st,,,,,,,,3rd,,33d20b46,
2/18/2026 15:59:25,1955ebee,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/21/2026 7:02:43,cc4baeb3,,4th,,2nd,,5th,,,,,,,,,,,,,3rd,,,,,,1st,,"e1f0c7a4, 78085919",
2/14/2026 12:57:55,157dcc82,,,,,,,,,,2nd,,,,1st,,3rd,4th,,,,,,,5th,,,e3b0c442,
2/14/2026 16:52:36,11e158f2,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/15/2026 11:58:52,440be7e0,,,,,,,1st,,,3rd,,,,,2nd,,,,,,,,5th,,4th,,"d3da3d36, def66dd9",
2/14/2026 12:27:26,6e6dd9c0,,,,,,,,,,4th,,,,,3rd,2nd,,5th,,,,1st,,,,,e3b0c442,
2/15/2026 14:45:49,6e6dd9c0,,,,,,,,,,4th,,,,,3rd,1st,,5th,,,,2nd,,,,,e3b0c442,
2/14/2026 12:13:36,ea360b9d,,,,,,3rd,,,,1st,2nd,,,,,,4th,,,,,,5th,,,,e3b0c442,
2/14/2026 12:09:23,94051d66,,,,,,5th,,,,,,,,3rd,,1st,,,,2nd,4th,,,,,,e3b0c442,
2/14/2026 12:11:02,ecce8acb,,,,,,,,,,5th,,,,4th,,,,,3rd,,,,2nd,,1st,,e3b0c442,
2/14/2026 20:27:57,b6ab5893,,,,4th,1st,,,,3rd,,,2nd,,,,,,,,,,,5th,,,,e3b0c442,
2/14/2026 21:55:03,c68e1965,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:07:27,f1d207e9,,,,,,,3rd,2nd,,,,,,,,1st,,5th,,,,4th,,,,,e3b0c442,
2/16/2026 21:45:03,f13be09c,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/15/2026 13:14:10,3a663236,,,,2nd,,,,,,1st,,,,,,,,,,,,,3rd,,,,e3b0c442,
2/16/2026 22:35:05,a435dc17,,,,,,,4th,,,,,,,,1st,,,2nd,5th,,,,,,3rd,,e3b0c442,
2/14/2026 12:25:24,17f02504,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,e3b0c442,
2/14/2026 12:10:22,d3015c4f,,,,4th,,,,,,2nd,3rd,5th,,,,,,,,,,,,1st,,,e3b0c442,
2/15/2026 3:20:04,1b04ddfa,,1st,,,,,,,,,,,,2nd,,,,,,,5th,,,4th,3rd,,f77058f6,
2/14/2026 13:47:44,5cbc2b94,,,,,,,,,,,2nd,4th,,,,,,,,,3rd,,,5th,1st,,e3b0c442,
2/14/2026 15:44:40,ba062d1f,,,,,,,,,,4th,,,,,3rd,2nd,,5th,,,,1st,,,,,"e3b0c4423e3b0c4420e3b0c442be3b0c442de3b0c4426e3b0c4424e3b0c4426e3b0c4426e3b0c442,e3b0c442 e3b0c4423e3b0c4426e3b0c4421e3b0c4428e3b0c442ce3b0c4426e3b0c442ce3b0c4428e3b0c442,e3b0c442 e3b0c442fe3b0c4428e3b0c442ae3b0c4422e3b0c4420e3b0c4422e3b0c4421e3b0c442be3b0c442,e3b0c442 e3b0c442ce3b0c442de3b0c442be3b0c4422e3b0c442ee3b0c4420e3b0c442de3b0c4420e3b0c442,e3b0c442 e3b0c4425e3b0c4424e3b0c4423e3b0c4427e3b0c442fe3b0c442ce3b0c4421e3b0c4420e3b0c442,e3b0c442 e3b0c442fe3b0c4420e3b0c4429e3b0c442ee3b0c4426e3b0c442ce3b0c442de3b0c4425e3b0c442,e3b0c442 e3b0c4427e3b0c4425e3b0c4425e3b0c442fe3b0c442ae3b0c4424e3b0c4424e3b0c4422e3b0c442,e3b0c442 e3b0c4424e3b0c442fe3b0c4423e3b0c442fe3b0c4424e3b0c442de3b0c4427e3b0c4425e3b0c442,e3b0c442 e3b0c442de3b0c4425e3b0c4421e3b0c442ce3b0c442ce3b0c4428e3b0c442ae3b0c4423e3b0c442,e3b0c442 e3b0c4426e3b0c442ee3b0c4426e3b0c442de3b0c442de3b0c4429e3b0c442ce3b0c4420e3b0c442,e3b0c442 e3b0c4420e3b0c4421e3b0c4429e3b0c442ee3b0c442de3b0c442de3b0c4429e3b0c442ce3b0c442,e3b0c442 e3b0c4423e3b0c4426e3b0c442ae3b0c442fe3b0c4423e3b0c4423e3b0c4429e3b0c4428e3b0c442,e3b0c442 e3b0c4428e3b0c442de3b0c4427e3b0c4420e3b0c442de3b0c4428e3b0c4421e3b0c4423e3b0c442,e3b0c442 e3b0c4429e3b0c442fe3b0c4424e3b0c442be3b0c4422e3b0c4425e3b0c4424e3b0c4424e3b0c442,e3b0c442 e3b0c442fe3b0c4420e3b0c4426e3b0c4425e3b0c4425e3b0c442ee3b0c4420e3b0c4424e3b0c442,e3b0c442 e3b0c4421e3b0c442ee3b0c4428e3b0c4424e3b0c442be3b0c4420e3b0c4428e3b0c442ce3b0c442,e3b0c442 e3b0c442ae3b0c4427e3b0c4427e3b0c4425e3b0c4429e3b0c442fe3b0c4424e3b0c442ee3b0c442,e3b0c442 e3b0c442be3b0c4420e3b0c4426e3b0c442fe3b0c4420e3b0c442ce3b0c442ae3b0c442ce3b0c442,e3b0c442 e3b0c4421e3b0c4427e3b0c442fe3b0c4420e3b0c4422e3b0c4425e3b0c4420e3b0c4424e3b0c442,e3b0c442 e3b0c442",
